replicasConfiguradas;pedidosPorHoraConfigurados;duracionPicoMin;horizonteMin;personasArmadoConfiguradas;planchasConfiguradas;hamburguesasMinConfiguradas;hamburguesasMaxConfiguradas;porcentajeEspecialesConfigurado;porcentajePapasConfigurado;factorCongestionConfigurado;tipo;cocineros;mediaTiempoPromedio;desvioTiempoPromedio;ic95InferiorTiempoPromedio;ic95SuperiorTiempoPromedio;mediaTiempoMaximo;mediaColaArmadoMaxima;mejoraMediaVsUno;mejoraPorcentualVsUno;ic95InferiorMejora;ic95SuperiorMejora;significativa
30;36;120;210;2;2;1;4;0,35;0,75;1;resumen;1;76,9163;14,6156;71,8743;82,1926;144,2066;36,9;0;0;0;0;base
30;36;120;210;2;2;1;4;0,35;0,75;1;resumen;2;76,5518;14,6199;71,6479;81,835;143,0818;36,9;0,3645;0,4738;0,2906;0,4445;si_mejora
30;36;120;210;2;2;1;4;0,35;0,75;1;resumen;3;76,409;14,6044;71,4066;81,649;142,7397;37;0,5073;0,6596;0,3989;0,6212;si_mejora
