replicasConfiguradas;pedidosPorHoraConfigurados;duracionPicoMin;horizonteMin;personasArmadoConfiguradas;planchasConfiguradas;hamburguesasMinConfiguradas;hamburguesasMaxConfiguradas;porcentajeEspecialesConfigurado;porcentajePapasConfigurado;factorCongestionConfigurado;tipo;cocineros;replica;cantidadPedidos;pedidosTerminados;tiempoPromedioPedido;tiempoMaximoPedido;colaCoccionMaxima;colaArmadoMaxima;porcentajeMas20Min;porcentajeMas35Min;porcentajeMas120Min;utilizacionPlancha;utilizacionFreidora;utilizacionArmado;balancePedidos;balanceHamburguesas
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;0;79;79;91,1981;189,7995;0;44;92,4051;78,481;31,6456;12,0027;8,3067;94,6405;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;1;83;83;97,6665;196,5138;0;49;96,3855;86,747;33,7349;12,2185;9,0267;95,1781;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;2;78;78;97,2371;173,5858;0;45;96,1538;87,1795;35,8974;11,875;9,497;94,4443;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;3;66;66;73,052;126,609;0;31;96,9697;87,8788;3,0303;11,3961;8,5927;94,3901;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;4;69;69;73,0814;129,6901;0;31;97,1014;84,058;1,4493;10,8708;7,9019;90,8387;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;5;78;78;81,3223;155,079;0;40;97,4359;87,1795;24,359;12,3211;9,9068;95,6391;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;6;68;68;65,9708;122,6826;0;32;89,7059;80,8824;1,4706;12,0206;9,434;92,4071;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;7;70;70;56,8686;118,9981;0;28;92,8571;67,1429;0;11,4403;9,0061;93,4925;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;8;81;81;96,4842;173,7793;0;48;97,5309;86,4198;37,037;12,2651;9,1721;96,1059;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;9;65;65;67,7581;128,135;0;34;98,4615;87,6923;6,1538;11,5351;9,1021;93,0016;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;10;67;67;68,997;126,3181;0;34;88,0597;80,597;8,9552;11,7362;9,4038;92,8707;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;11;72;72;80,6292;154,1271;0;38;94,4444;81,9444;19,4444;11,9649;9,236;94,5955;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;12;58;58;60,9387;114,6932;0;28;93,1034;75,8621;0;12,2995;9,7754;92,8971;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;13;82;82;97,9814;175,1021;0;50;96,3415;87,8049;37,8049;12,3065;9,675;94,0275;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;14;73;73;72,4119;152,0557;0;36;94,5205;76,7123;16,4384;11,5315;8,7859;92,5915;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;15;73;73;73,4694;136,5526;0;38;91,7808;80,8219;12,3288;11,5329;8,8071;94,1101;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;16;61;61;73,6065;129,6764;0;31;96,7213;81,9672;11,4754;11,4475;8,2853;91,6751;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;17;80;80;75,6702;146,6708;0;41;90;77,5;22,5;11,2455;8,3965;93,6097;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;18;77;77;93,8793;177,9563;0;43;93,5065;84,4156;33,7662;11,8948;8,9509;93,7762;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;19;64;64;63,1611;109,1261;0;32;96,875;79,6875;0;11,6953;8,7439;92,5969;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;20;81;81;95,6057;184,2242;0;45;95,0617;90,1235;33,3333;12,2905;9,1082;95,9988;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;21;63;63;56,9102;95,5555;0;27;93,6508;73,0159;0;12,2063;9,3252;94,0224;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;22;69;69;79,074;135,1402;0;36;94,2029;84,058;14,4928;12,4978;9,3495;94,4133;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;23;92;92;110,0081;209,8892;0;60;97,8261;84,7826;45,6522;12,0234;9,1388;96,516;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;24;65;65;64,4448;118,3178;0;26;90,7692;75,3846;0;12,3078;9,2036;92,8187;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;25;68;68;65,427;121,8205;0;34;91,1765;83,8235;1,4706;11,2615;8,0873;93,5931;0;0
30;36;120;210;2;3;1;4;0,35;0,75;1;corrida;1;26;71;71;73,4394;139,8667;0;33;95,7746;78,8732;12,6761;12,8847;9,7449;95,6015;0;0
