replicasConfiguradas;pedidosPorHoraConfigurados;duracionPicoMin;horizonteMin;personasArmadoConfiguradas;hamburguesasMinConfiguradas;hamburguesasMaxConfiguradas;porcentajeEspecialesConfigurado;porcentajePapasConfigurado;factorCongestionConfigurado;tipo;cocineros;replica;cantidadPedidos;pedidosTerminados;tiempoPromedioPedido;tiempoMaximoPedido;colaCoccionMaxima;colaArmadoMaxima;porcentajeMas20Min;porcentajeMas35Min;porcentajeMas120Min;utilizacionPlancha;utilizacionFreidora;utilizacionArmado;balancePedidos;balanceHamburguesas
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;2;25;25;19,2593;35,316;0;3;36;4;0;11,8624;8,9424;69,4051;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;3;24;24;17,8141;30,9311;0;3;29,1667;0;0;9,8274;7,1375;62,1158;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;4;33;33;16,7763;23,2718;0;3;15,1515;0;0;11,4397;8,6973;68,7044;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;5;25;25;16,1047;22,9584;0;2;16;0;0;9,275;8,0711;53,7661;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;6;22;22;20,121;32,2079;0;4;50;0;0;10,1158;8,6154;58,1839;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;7;21;21;15,2429;20,5108;0;2;9,5238;0;0;7,4801;6,2902;44,3647;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;8;24;24;17,8873;28,9054;0;3;16,6667;0;0;10,7257;7,4744;63,8815;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;9;22;22;18,883;27,4336;0;3;31,8182;0;0;10,0995;8,536;59,6787;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;10;22;22;17,1594;27,528;0;2;27,2727;0;0;9,7643;7,9397;54,9626;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;11;21;21;17,5416;26,3013;0;2;23,8095;0;0;9,2974;6,1275;51,8293;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;12;18;18;18,26;27,0089;0;2;33,3333;0;0;8,9657;6,9718;50,267;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;13;30;30;21,936;33,4773;0;4;66,6667;0;0;13,3246;10,9753;71,6716;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;14;23;23;15,9405;22,2335;0;2;8,6957;0;0;9,0908;6,7819;49,8814;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;15;22;22;19,2774;28,1421;0;3;31,8182;0;0;9,3458;7,4856;54,0099;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;16;21;21;17,2523;29,7851;0;1;19,0476;0;0;10,0656;7,0246;57,7759;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;17;23;23;17,2261;22,9322;0;3;26,087;0;0;8,7449;5,8527;50,714;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;18;27;27;17,5375;22,1464;0;3;29,6296;0;0;11,595;8,5659;66,2262;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;19;19;19;18,4436;25,9411;0;2;31,5789;0;0;9,3671;7,1553;52,6868;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;20;26;26;17,8329;26,7667;0;3;26,9231;0;0;11,2025;8,5618;65,8207;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;21;23;23;18,2933;25,7091;0;3;30,4348;0;0;10,1439;8,5026;57,5792;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;22;26;26;19,984;26,782;0;3;53,8462;0;0;13,1847;9,7109;70,1672;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;23;25;25;19,0453;27,0716;0;3;44;0;0;11,6322;8,4228;66,6649;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;24;20;20;16,2262;22,5241;0;3;5;0;0;9,0066;6,0463;48,3748;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;25;21;21;17,8847;25,0088;0;3;28,5714;0;0;9,9773;6,762;56,9726;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;26;23;23;16,7581;22,9897;0;1;17,3913;0;0;10,5995;8,1186;56,0875;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;27;23;23;18,3499;30,4534;0;4;26,087;0;0;11,1513;8,2898;62,4789;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;28;20;20;16,4412;24,4547;0;2;5;0;0;9,7494;6,7224;50,695;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;2;29;23;23;18,7935;26,8201;0;2;43,4783;0;0;10,741;8,0157;59,9558;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;0;27;27;20,1419;37,2605;0;6;44,4444;3,7037;0;10,3375;8,0785;59,26;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;1;24;24;17,2146;23,2601;0;3;20,8333;0;0;10,0934;7,4485;59,1109;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;2;25;25;18,976;35,1094;0;3;28;4;0;11,5357;8,6964;69,5247;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;3;24;24;17,6235;30,4192;0;3;25;0;0;9,5722;6,955;62,1396;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;4;33;33;16,5793;23,2015;0;3;15,1515;0;0;11,1561;8,4859;68,7382;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;5;25;25;15,9097;22,5173;0;2;16;0;0;9,0659;7,8911;53,9285;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;6;22;22;19,8083;31,7057;0;4;50;0;0;9,8578;8,3968;58,3725;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;7;21;21;15,0542;20,1952;0;2;4,7619;0;0;7,3234;6,1524;44,4187;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;8;24;24;17,8457;26,5725;0;3;20,8333;0;0;10,4407;7,2718;63,9487;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;9;22;22;18,5575;27,1097;0;3;27,2727;0;0;9,7402;8,2421;59,7654;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;10;22;22;16,9889;27,1628;0;2;22,7273;0;0;9,4848;7,7065;54,9913;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;11;21;21;17,3133;26,0605;0;2;23,8095;0;0;9,051;5,9772;51,9158;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;12;18;18;18,0321;26,5914;0;2;33,3333;0;0;8,7232;6,7729;50,4086;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;13;30;30;21,6807;33,3044;0;4;66,6667;0;0;12,9948;10,7;71,885;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;14;23;23;15,9066;21,9765;0;2;4,3478;0;0;8,8834;6,6197;49,9751;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;15;22;22;19,0039;27,7105;0;3;31,8182;0;0;9,087;7,2773;54,0887;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;16;21;21;17,071;29,6353;0;1;9,5238;0;0;9,795;6,844;57,8415;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;17;23;23;16,9919;22,627;0;3;26,087;0;0;8,5434;5,72;50,8238;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;18;27;27;17,3195;22,0631;0;3;29,6296;0;0;11,3049;8,3487;66,3995;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;19;19;19;18,1482;25,3322;0;2;26,3158;0;0;9,0802;6,9377;52,7843;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;20;26;26;17,619;26,6504;0;3;26,9231;0;0;10,885;8,3255;65,8452;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;21;23;23;18,033;25,3088;0;3;30,4348;0;0;9,8619;8,2665;57,6925;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;22;26;26;19,7499;26,6024;0;3;53,8462;0;0;12,8639;9,4768;70,3293;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;23;25;25;18,7691;26,617;0;3;44;0;0;11,3042;8,1739;66,9255;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;24;20;20;16,0652;22,3996;0;3;5;0;0;8,8031;5,9126;48,4454;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;25;21;21;17,6411;24,5599;0;3;28,5714;0;0;9,7365;6,6008;57,1657;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;26;23;23;16,5681;22,9234;0;1;13,0435;0;0;10,3112;7,8981;56,1647;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;27;23;23;18,0249;30,0038;0;4;21,7391;0;0;10,881;8,0806;62,5595;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;28;20;20;16,2517;24,2692;0;2;5;0;0;9,5229;6,5596;50,8427;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;3;29;23;23;18,5826;26,518;0;2;43,4783;0;0;10,5028;7,8272;60,06;0;0
