"time","tiempoPromedioPedido","tiempoMaximoPedido","cantidadPedidos","longitudColaArmado","longitudColaCoccion","pedidosTerminados"
14.3,13.15675660734427,13.15675660734427,6,0,0,1
14.4,13.15675660734427,13.15675660734427,6,0,0,1
14.5,13.15675660734427,13.15675660734427,6,0,0,1
14.6,13.15675660734427,13.15675660734427,6,0,0,1
14.7,13.15675660734427,13.15675660734427,6,0,0,1
14.8,13.15675660734427,13.15675660734427,6,0,0,1
14.9,13.15675660734427,13.15675660734427,6,0,0,1
15,13.15675660734427,13.15675660734427,6,0,0,1
15.1,13.15675660734427,13.15675660734427,6,0,0,1
15.2,13.15675660734427,13.15675660734427,6,0,0,1
15.3,13.15675660734427,13.15675660734427,6,0,0,1
15.4,13.15675660734427,13.15675660734427,6,0,0,1
15.5,13.15675660734427,13.15675660734427,6,0,0,1
15.6,13.15675660734427,13.15675660734427,6,0,0,1
15.7,13.15675660734427,13.15675660734427,6,0,0,1
15.8,13.15675660734427,13.15675660734427,6,0,0,1
15.9,13.15675660734427,13.15675660734427,6,0,0,1
16,13.15675660734427,13.15675660734427,6,0,0,1
16.1,13.15675660734427,13.15675660734427,6,0,0,1
16.2,13.15675660734427,13.15675660734427,6,0,0,1
16.3,13.15675660734427,13.15675660734427,6,0,0,1
16.4,13.15675660734427,13.15675660734427,6,0,0,1
16.5,13.15675660734427,13.15675660734427,6,0,0,1
16.6,13.15675660734427,13.15675660734427,6,0,0,1
16.7,13.15675660734427,13.15675660734427,6,0,0,1
16.8,13.15675660734427,13.15675660734427,6,0,0,1
16.9,13.15675660734427,13.15675660734427,6,0,0,1
17,13.15675660734427,13.15675660734427,6,0,0,1
17.1,13.15675660734427,13.15675660734427,6,0,0,1
17.2,13.15675660734427,13.15675660734427,6,0,0,1
17.3,13.15675660734427,13.15675660734427,6,0,0,1
17.4,13.15675660734427,13.15675660734427,6,0,0,1
17.5,13.15675660734427,13.15675660734427,6,0,0,1
17.6,13.15675660734427,13.15675660734427,6,0,0,1
17.7,13.15675660734427,13.15675660734427,6,0,0,1
17.8,13.15675660734427,13.15675660734427,6,0,0,1
17.9,13.15675660734427,13.15675660734427,6,0,0,1
18,13.15675660734427,13.15675660734427,6,0,0,1
18.1,13.15675660734427,13.15675660734427,6,0,0,1
18.2,13.15675660734427,13.15675660734427,6,0,0,1
18.3,13.15675660734427,13.15675660734427,6,0,0,1
18.4,13.15675660734427,13.15675660734427,6,0,0,1
18.5,13.15675660734427,13.15675660734427,6,0,0,1
18.6,13.15675660734427,13.15675660734427,6,0,0,1
18.7,13.15675660734427,13.15675660734427,6,0,0,1
18.76150520319371,13.15675660734427,13.15675660734427,6,0,0,1
18.76150520319371,13.15675660734427,13.15675660734427,6,0,0,1
18.77684164141201,13.15675660734427,13.15675660734427,6,0,0,1
18.77684164141201,13.15675660734427,13.15675660734427,6,0,0,1
18.8,13.15675660734427,13.15675660734427,6,0,0,1
18.9,13.15675660734427,13.15675660734427,6,0,0,1
19,13.15675660734427,13.15675660734427,6,0,0,1
19.1,13.15675660734427,13.15675660734427,6,0,0,1
19.2,13.15675660734427,13.15675660734427,6,0,0,1
19.3,13.15675660734427,13.15675660734427,6,0,0,1
19.4,13.15675660734427,13.15675660734427,6,0,0,1
19.5,13.15675660734427,13.15675660734427,6,0,0,1
19.6,13.15675660734427,13.15675660734427,6,0,0,1
19.7,13.15675660734427,13.15675660734427,6,0,0,1
19.8,13.15675660734427,13.15675660734427,6,0,0,1
19.9,13.15675660734427,13.15675660734427,6,0,0,1
20,13.15675660734427,13.15675660734427,6,0,0,1
20.1,13.15675660734427,13.15675660734427,6,0,0,1
20.2,13.15675660734427,13.15675660734427,6,0,0,1
20.3,13.15675660734427,13.15675660734427,6,0,0,1
20.37790076361775,13.15675660734427,13.15675660734427,6,0,0,1
20.37790076361775,13.15675660734427,13.15675660734427,6,1,0,1
20.4,13.15675660734427,13.15675660734427,6,1,0,1
20.5,13.15675660734427,13.15675660734427,6,1,0,1
20.6,13.15675660734427,13.15675660734427,6,1,0,1
20.64967151798582,13.15675660734427,13.15675660734427,6,1,0,1
20.64967151798582,13.15675660734427,13.15675660734427,6,2,0,1
20.7,13.15675660734427,13.15675660734427,6,2,0,1
20.8,13.15675660734427,13.15675660734427,6,2,0,1
20.9,13.15675660734427,13.15675660734427,6,2,0,1
21,13.15675660734427,13.15675660734427,6,2,0,1
21.1,13.15675660734427,13.15675660734427,6,2,0,1
21.2,13.15675660734427,13.15675660734427,6,2,0,1
21.3,13.15675660734427,13.15675660734427,6,2,0,1
21.4,13.15675660734427,13.15675660734427,6,2,0,1
21.5,13.15675660734427,13.15675660734427,6,2,0,1
21.6,13.15675660734427,13.15675660734427,6,2,0,1
21.7,13.15675660734427,13.15675660734427,6,2,0,1
21.8,13.15675660734427,13.15675660734427,6,2,0,1
21.9,13.15675660734427,13.15675660734427,6,2,0,1
22,13.15675660734427,13.15675660734427,6,2,0,1
22.1,13.15675660734427,13.15675660734427,6,2,0,1
22.16837158953978,13.15675660734427,13.15675660734427,6,2,0,1
22.16837158953978,13.15675660734427,13.15675660734427,7,2,0,1
22.2,13.15675660734427,13.15675660734427,7,2,0,1
22.28286931116631,13.15675660734427,13.15675660734427,7,2,0,1
22.28286931116631,13.15675660734427,13.15675660734427,7,3,0,1
22.3,13.15675660734427,13.15675660734427,7,3,0,1
22.4,13.15675660734427,13.15675660734427,7,3,0,1
22.5,13.15675660734427,13.15675660734427,7,3,0,1
22.6,13.15675660734427,13.15675660734427,7,3,0,1
22.7,13.15675660734427,13.15675660734427,7,3,0,1
22.8,13.15675660734427,13.15675660734427,7,3,0,1
22.9,13.15675660734427,13.15675660734427,7,3,0,1
23,13.15675660734427,13.15675660734427,7,3,0,1
23.1,13.15675660734427,13.15675660734427,7,3,0,1
23.2,13.15675660734427,13.15675660734427,7,3,0,1
23.3,13.15675660734427,13.15675660734427,7,3,0,1
23.4,13.15675660734427,13.15675660734427,7,3,0,1
23.5,13.15675660734427,13.15675660734427,7,3,0,1
23.6,13.15675660734427,13.15675660734427,7,3,0,1
23.7,13.15675660734427,13.15675660734427,7,3,0,1
23.8,13.15675660734427,13.15675660734427,7,3,0,1
23.9,13.15675660734427,13.15675660734427,7,3,0,1
24,13.15675660734427,13.15675660734427,7,3,0,1
24.1,13.15675660734427,13.15675660734427,7,3,0,1
24.2,13.15675660734427,13.15675660734427,7,3,0,1
24.3,13.15675660734427,13.15675660734427,7,3,0,1
24.4,13.15675660734427,13.15675660734427,7,3,0,1
24.440188220032,13.15675660734427,13.15675660734427,7,3,0,1
24.440188220032,14.09106945575819,15.02538230417211,7,2,0,2
24.5,14.09106945575819,15.02538230417211,7,2,0,2
24.6,14.09106945575819,15.02538230417211,7,2,0,2
24.7,14.09106945575819,15.02538230417211,7,2,0,2
24.8,14.09106945575819,15.02538230417211,7,2,0,2
24.87740674666804,14.09106945575819,15.02538230417211,7,2,0,2
24.87740674666804,14.74349127563724,16.04833491539533,7,1,0,3
24.9,14.74349127563724,16.04833491539533,7,1,0,3
25,14.74349127563724,16.04833491539533,7,1,0,3
25.1,14.74349127563724,16.04833491539533,7,1,0,3
25.2,14.74349127563724,16.04833491539533,7,1,0,3
25.3,14.74349127563724,16.04833491539533,7,1,0,3
25.4,14.74349127563724,16.04833491539533,7,1,0,3
25.5,14.74349127563724,16.04833491539533,7,1,0,3
25.6,14.74349127563724,16.04833491539533,7,1,0,3
25.7,14.74349127563724,16.04833491539533,7,1,0,3
25.8,14.74349127563724,16.04833491539533,7,1,0,3
25.9,14.74349127563724,16.04833491539533,7,1,0,3
26,14.74349127563724,16.04833491539533,7,1,0,3
26.1,14.74349127563724,16.04833491539533,7,1,0,3
26.2,14.74349127563724,16.04833491539533,7,1,0,3
26.3,14.74349127563724,16.04833491539533,7,1,0,3
26.4,14.74349127563724,16.04833491539533,7,1,0,3
26.41579043913529,14.74349127563724,16.04833491539533,7,1,0,3
26.41579043913529,14.74349127563724,16.04833491539533,8,1,0,3
26.5,14.74349127563724,16.04833491539533,8,1,0,3
26.6,14.74349127563724,16.04833491539533,8,1,0,3
26.7,14.74349127563724,16.04833491539533,8,1,0,3
26.8,14.74349127563724,16.04833491539533,8,1,0,3
26.9,14.74349127563724,16.04833491539533,8,1,0,3
27,14.74349127563724,16.04833491539533,8,1,0,3
27.1,14.74349127563724,16.04833491539533,8,1,0,3
27.2,14.74349127563724,16.04833491539533,8,1,0,3
27.3,14.74349127563724,16.04833491539533,8,1,0,3
27.4,14.74349127563724,16.04833491539533,8,1,0,3
27.5,14.74349127563724,16.04833491539533,8,1,0,3
27.6,14.74349127563724,16.04833491539533,8,1,0,3
27.7,14.74349127563724,16.04833491539533,8,1,0,3
27.8,14.74349127563724,16.04833491539533,8,1,0,3
27.9,14.74349127563724,16.04833491539533,8,1,0,3
27.99261749934078,14.74349127563724,16.04833491539533,8,1,0,3
27.99261749934078,15.36247241770469,17.21941584390703,8,0,0,4
28,15.36247241770469,17.21941584390703,8,0,0,4
28.1,15.36247241770469,17.21941584390703,8,0,0,4
28.2,15.36247241770469,17.21941584390703,8,0,0,4
28.3,15.36247241770469,17.21941584390703,8,0,0,4
28.4,15.36247241770469,17.21941584390703,8,0,0,4
28.5,15.36247241770469,17.21941584390703,8,0,0,4
28.6,15.36247241770469,17.21941584390703,8,0,0,4
28.7,15.36247241770469,17.21941584390703,8,0,0,4
28.8,15.36247241770469,17.21941584390703,8,0,0,4
28.9,15.36247241770469,17.21941584390703,8,0,0,4
29,15.36247241770469,17.21941584390703,8,0,0,4
29.1,15.36247241770469,17.21941584390703,8,0,0,4
29.16727036001176,15.36247241770469,17.21941584390703,8,0,0,4
29.16727036001176,15.99616673610475,18.53094400970499,8,0,0,5
29.2,15.99616673610475,18.53094400970499,8,0,0,5
29.3,15.99616673610475,18.53094400970499,8,0,0,5
29.4,15.99616673610475,18.53094400970499,8,0,0,5
29.5,15.99616673610475,18.53094400970499,8,0,0,5
29.6,15.99616673610475,18.53094400970499,8,0,0,5
29.7,15.99616673610475,18.53094400970499,8,0,0,5
29.8,15.99616673610475,18.53094400970499,8,0,0,5
29.9,15.99616673610475,18.53094400970499,8,0,0,5
30,15.99616673610475,18.53094400970499,8,0,0,5
30.1,15.99616673610475,18.53094400970499,8,0,0,5
30.2,15.99616673610475,18.53094400970499,8,0,0,5
30.3,15.99616673610475,18.53094400970499,8,0,0,5
30.4,15.99616673610475,18.53094400970499,8,0,0,5
30.5,15.99616673610475,18.53094400970499,8,0,0,5
30.6,15.99616673610475,18.53094400970499,8,0,0,5
30.7,15.99616673610475,18.53094400970499,8,0,0,5
30.8,15.99616673610475,18.53094400970499,8,0,0,5
30.9,15.99616673610475,18.53094400970499,8,0,0,5
31,15.99616673610475,18.53094400970499,8,0,0,5
31.1,15.99616673610475,18.53094400970499,8,0,0,5
31.2,15.99616673610475,18.53094400970499,8,0,0,5
31.3,15.99616673610475,18.53094400970499,8,0,0,5
31.4,15.99616673610475,18.53094400970499,8,0,0,5
31.5,15.99616673610475,18.53094400970499,8,0,0,5
31.6,15.99616673610475,18.53094400970499,8,0,0,5
31.7,15.99616673610475,18.53094400970499,8,0,0,5
31.8,15.99616673610475,18.53094400970499,8,0,0,5
31.9,15.99616673610475,18.53094400970499,8,0,0,5
32,15.99616673610475,18.53094400970499,8,0,0,5
32.07472786899572,15.99616673610475,18.53094400970499,8,0,0,5
32.07472786899572,15.99616673610475,18.53094400970499,8,0,0,5
32.1,15.99616673610475,18.53094400970499,8,0,0,5
32.2,15.99616673610475,18.53094400970499,8,0,0,5
32.3,15.99616673610475,18.53094400970499,8,0,0,5
32.4,15.99616673610475,18.53094400970499,8,0,0,5
32.5,15.99616673610475,18.53094400970499,8,0,0,5
32.6,15.99616673610475,18.53094400970499,8,0,0,5
32.7,15.99616673610475,18.53094400970499,8,0,0,5
32.8,15.99616673610475,18.53094400970499,8,0,0,5
32.9,15.99616673610475,18.53094400970499,8,0,0,5
33,15.99616673610475,18.53094400970499,8,0,0,5
33.1,15.99616673610475,18.53094400970499,8,0,0,5
33.2,15.99616673610475,18.53094400970499,8,0,0,5
